dates,oahu0104_0001,oahu0104_0002,satname
2020-05-16 20:33:38+00:00,,,L7
2020-05-23 21:19:40+00:00,5.000194947816208,,S2
2020-05-25 20:26:54+00:00,,,L7
2020-06-01 20:32:41+00:00,29.52096333734972,28.104478492737307,L7
2020-06-02 21:19:41+00:00,22.34152920406042,22.26264188757891,S2
2020-06-10 20:25:59+00:00,,,L7
2020-06-12 21:19:40+00:00,10.609133526645936,7.814440111419399,S2
2020-06-17 20:31:45+00:00,31.25551349582788,27.58108015332221,L7
2020-06-17 21:19:37+00:00,15.927927033747697,14.576375415644332,S2
2020-06-22 21:19:40+00:00,9.537159716641234,,S2
2020-07-07 21:19:36+00:00,17.448409808095462,14.932338902617628,S2
2020-07-17 21:19:35+00:00,13.3163018983329,12.623087390267155,S2
2020-07-19 20:29:49+00:00,,,L7
2020-07-22 21:19:40+00:00,19.17709165396563,18.208747371731643,S2
2020-07-27 21:00:10+00:00,22.86505246849619,24.07726016903609,L8
2020-07-27 21:19:37+00:00,,,S2
2020-08-01 21:19:40+00:00,10.854863998926772,7.170380675566222,S2
2020-08-11 21:19:40+00:00,13.240161899186244,12.149179685565931,S2
2020-08-12 21:00:13+00:00,25.135955561437687,28.89006909944284,L8
2020-08-13 20:22:04+00:00,,,L7
2020-08-20 20:27:48+00:00,,,L7
2020-08-26 21:19:37+00:00,39.59381708957175,42.36377523145752,S2
2020-08-29 20:21:02+00:00,,,L7
2020-08-31 21:19:39+00:00,9.607122682541656,6.669307425375237,S2
2020-09-05 21:19:37+00:00,15.166217606632465,20.94550757801394,S2
2020-09-13 21:00:28+00:00,32.127075796418964,53.62529956600222,L8
2020-09-14 20:19:59+00:00,51.25325429792926,60.15416897681932,L7
2020-09-15 21:19:36+00:00,24.11639514753965,30.55618825692453,S2
2020-09-25 21:19:37+00:00,25.27973963297054,29.25906973133757,S2
2020-09-29 21:00:33+00:00,44.86575801227452,50.12839828588073,L8
2020-09-30 20:18:57+00:00,49.51508161603089,54.721396817714485,L7
2020-09-30 21:19:40+00:00,29.808348495735697,30.11914264609276,S2
2020-10-15 21:00:34+00:00,35.756771105845765,50.692595867566325,L8
2020-10-15 21:19:38+00:00,25.7406892727772,,S2
2020-10-20 21:19:40+00:00,17.39595182751307,29.03931674682687,S2
2020-10-25 21:19:37+00:00,35.18831742746446,,S2
2020-10-30 21:19:39+00:00,29.37033986096221,38.9097699806986,S2
